epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.183,1.39749,2.36283,1.43454,0.64552,0.14932,0.38149,0.19793,1.2281,2.6286,1.37506,0.00065,0.00065,0.00065
2,462.744,1.46164,2.06458,1.48455,0.33623,0.25792,0.19486,0.07829,1.80244,2.92747,1.76923,0.00122977,0.00122977,0.00122977
3,659.748,1.56499,2.14156,1.53687,0.42199,0.36199,0.33738,0.15961,1.69276,3.88874,1.87345,0.00172153,0.00172153,0.00172153
4,876.603,1.53564,2.01113,1.50185,0.48037,0.38066,0.37934,0.19411,1.59424,3.63821,1.73703,0.001604,0.001604,0.001604
5,1150,1.57988,1.95777,1.52039,0.33182,0.51684,0.32403,0.1593,1.60091,2.74755,1.75746,0.001472,0.001472,0.001472
6,1425.02,1.4958,2.27969,1.54214,0.39654,0.49774,0.40162,0.22547,1.43563,2.44955,1.59262,0.00134,0.00134,0.00134
7,1659.94,1.39037,1.97054,1.44253,0.46394,0.49344,0.47812,0.30319,1.3412,2.00888,1.43491,0.001208,0.001208,0.001208
8,1922.3,1.31321,1.87126,1.41424,0.53306,0.52941,0.51553,0.30506,1.29904,1.81693,1.38799,0.001076,0.001076,0.001076
9,2201.75,1.2749,1.77688,1.37282,0.71418,0.52489,0.6333,0.38276,1.23155,1.56748,1.33762,0.000944,0.000944,0.000944
10,2481.33,1.24676,1.6468,1.33494,0.7187,0.62428,0.68014,0.4639,1.0599,1.43437,1.21825,0.000812,0.000812,0.000812
11,2698.26,1.16849,1.58494,1.30037,0.75887,0.62657,0.70904,0.48547,1.04702,1.36051,1.19309,0.00068,0.00068,0.00068
12,2885.49,1.12776,1.43324,1.27394,0.79926,0.68463,0.75981,0.53994,1.01697,1.26549,1.15936,0.000548,0.000548,0.000548
13,3095.2,1.06701,1.36467,1.21495,0.81783,0.67036,0.77127,0.55407,0.96641,1.20673,1.15017,0.000416,0.000416,0.000416
14,3286.05,0.99643,1.33869,1.16528,0.8418,0.70588,0.79943,0.58517,0.88341,1.13179,1.11221,0.000284,0.000284,0.000284
15,36183,0.98044,1.2507,1.16679,0.88435,0.69203,0.81577,0.608,0.86059,1.11505,1.09942,0.000152,0.000152,0.000152
